job_id,job_text,res1_id,res1_text,res2_id,res2_text,res3_id,res3_text
7405032484,FERRARA CANDY *** PACKAGING ASSISTANTS *** Dekalb (DeKalb) FERRARA CANDY *** PACKAGING ASSISTANTS *** Dekalb  NOW HIRING! Packaging Assistants. New state-of-the-art facility. $15.75 to $16.00/hr. *** 1st and 2nd SHIFT.  DEKALB area.  Great work environment with a great fun atmosphere.  Free cell phone after 3 weeks on the job.  CALL OR TEXT TODAY \xe2\x80\x93 224-806-5536 *** APPLY at 1001 E Gurler Road DeKalb IL 60115  SURESTAFF is the leading provider of light industrial logistics general labor production and manufacturing labor in the mid- and southwest with 27 local convenient offices. Surestaff is an Equal Opportunity Employer (EOE) and we follow CDC and Illinois Dept of Health guidelines for everyone\xe2\x80\x99s safety and health.   CALL OR TEXT TODAY \xe2\x80\x93 224-806-5536,7404869843,Looking for anything to do I\'m looking for something that\'s cleaning out apartments or yard work. I can do it after 2pm.,7406978122,Union laborer -demolition (Cicero) Hello I\xe2\x80\x99m a  apprentice union laborer laid off looking for a new company to work for.,7384781945,General labor work (Chicago) My name is Mike I am looking for job as a Laborer I have experience in moving landscaping demolition and just general labor work. I am a hard worker have my own transportation.
7405098470,Find a job now in Chicago - Earn up to Up to $16.80/hour (Chicago) Hello  Amazon is hiring in Chicago. Earn up to Up to $16.80/hour/hr as a Amazon Delivery Station Warehouse Associate.     Health and safety are a top priority with all of our roles and sites. Learn more about the precautions Amazon is taking in our buildings to keep people healthy. Questions? Visit our FAQ page for more information.            Amazon is always looking for ways to wow their customers and sometimes that means we\xe2\x80\x99re opening a new facility or one of our current locations is in high demand. This creates a unique opportunity that benefits new hires: bonus incentives based on the role or the location but only for a limited-time. We may be hiring near you so it literally pays to start now! Join the Amazon team and work at a warehouse close to home! No experience? Amazon warehouse jobs are a great way to start earning money with or without experience in a distribution center factory or warehouse. Amazon warehouse employees come from a variety of industries and experience levels. From Uber to Trader Joe\xe2\x80\x99s Amazon warehouses are home to associates with backgrounds ranging from transportation retail Walmart warehouses Target distribution centers FedEx warehouse package handlers UPS warehouses packing jobs shipping & receiving customer service creative industries general labor and more! Our employees have worked at Lowes Home Depot HD Supply OnTrac DHL and more\xe2\x80\xa6 Ready to join our versatile team? Apply for a full-time part-time or seasonal job today!!   Amazon is an Equal Opportunity Employer,7406978122,Union laborer -demolition (Cicero) Hello I\xe2\x80\x99m a  apprentice union laborer laid off looking for a new company to work for.,7384781945,General labor work (Chicago) My name is Mike I am looking for job as a Laborer I have experience in moving landscaping demolition and just general labor work. I am a hard worker have my own transportation.,7404869843,Looking for anything to do I\'m looking for something that\'s cleaning out apartments or yard work. I can do it after 2pm.
7406505402,Inventory Control/ Porter Needed (Evanston) SALES PORTER Responsibilities: \xe2\x80\xa2 Move cars from lots detail shop and other designated areas \xe2\x80\xa2 Account for all cars on multiple lots \xe2\x80\xa2 Drive and handle cars responsibly to ensure property is protected and damage is prevented \xe2\x80\xa2 Ensure cleanliness of interiors and exteriors of all in stock and sold vehicles \xe2\x80\xa2 Perform tasks including but not limited to filling up gas jumping batteries organizing parking lots etc.  Qualifications: \xe2\x80\xa2 High School Diploma or equivalent \xe2\x80\xa2 Valid driver\xe2\x80\x99s license and good driving record \xe2\x80\xa2 Willingness to learn and preform wide range of assigned tasks \xe2\x80\xa2 Organized and productive in fast paced environment \xe2\x80\xa2 Willingness to work irregular business hours- nights and Saturdays are essential,7404869843,Looking for anything to do I\'m looking for something that\'s cleaning out apartments or yard work. I can do it after 2pm.,7406978122,Union laborer -demolition (Cicero) Hello I\xe2\x80\x99m a  apprentice union laborer laid off looking for a new company to work for.,7399331447,Seeking employment (South suburbs) Laborer looking for work Experience laborer Irrigation 3 years Nursery laborer 5 years Construction laborer 7 years
7405099747,Office Customer Service Part - Time 24 hrs/wk (SW Chgo Suburbs) We are looking for cheerful enthusiastic customer service rep to answer phones taking payments and reconciling billing statements.    Applicant needs to have excellent verbal and written communication skills.  Must also have math competency for reconciling  billing statements and accounts receivables.  Must also have good knowledge of  Microsoft Excel.  Part time position  1 pm to 5 pm Monday thru Friday including Saturdays 9am to 1pm.  Prior insurance or banking experience a plus   Must live within 12 miles of Oak Lawn Illinois and have transportation to get to work and back.  Please reply to this ad or  fax resume to  866/418-3879   \xe2\x80\xa2Principals only. Recruiters please don\'t contact this job poster. \xe2\x80\xa2do NOT contact us with unsolicited services or offers,7402783036,Remote role wanted (Chicago) I\'m looking a part time remote job. I currently have experience in sales customer service and Health administration. Legit roles only no ad posting or scams!,7406886670,Sales or Improve Customer Services for $6/hr (chicago) To enhance sales or improve customer service we offer telemarketing services appointment setting recruitment outbound inbound calls and lead generation. We are based in Canada and have been providing services to businesses in the United States and Canada since 2000. My team works hard 24/7 to guarantee that our clients meet their goals and we are known in the market for delivering the best at cheap pricing of $6US per hour.,7406316678,Remote Business Services We provide remote business services to clients across the country. We provide services such as: notary/loan signing accounting data entry database management customer service etc.  We currently work remotely for a real estate agent/investor doing data entry and bookkeeping. We also work for a property manager performing virtual assistant services. I use Appfolio MLS & Loopnet.  References can be provided upon request.  I recognize the value of fast responses communication and customer service. I\'m always available via phone text and email. I would love the opportunity to help you with any of your short or long term projects.  If you have any questions please feel free to ask.
7405188536,LADIES/Guys Phone Pros! Guaranteed wkly Salary w/$1200 in wkly Bonuses (Calumet City/ Hammond IN.) Ladies/ Gents here the opportunity for \xe2\x80\x9cREAL PHONE PROS\xe2\x80\x9d to work in the most relaxed office environment and a earn \xe2\x80\x9cGuarantee Weekly Salary\xe2\x80\x9d \xe2\x80\x93plus\xe2\x80\x93 Earn an additional $725 to $1125 in weekly Bonuses without ever asking for anyone for a dime!  Working only 9am \xe2\x80\x93 1:30pm\xe2\x80\xa6 4 hours p/day Mon. thru Friday and your day/week is DONE!  However "THIS IS NOT A REMOTE POSITION" but work from our Calumet City/ Hammond Office and only sell yourself Never asking our clients for any type of Payment Credit Card or Money of any kind for our services  In this easy Phone Sales Position again there is ABSOLUTELY NO SELLING OF ANY KIND simply requires you to speak to our valued seniors in regards to their Covid-19 concerns and their In-home healthcare needs and if warranted Set an appointment for home healthcare specialist to visit them\xe2\x80\xa6 That\xe2\x80\x99s It!  $$To make this kind of Money$$ in only 4 hours p/day "Working NO WEEKENDS\xe2\x80\x9d in one of the easiest laid-back office phone position ever\xe2\x80\xa6 you must have at least three or more years \xe2\x80\x9cPHONE or SALES EXPERIENCE\xe2\x80\x9d with a strong successful track record be Money Motivated Articulate with outstanding \xe2\x80\x9cFOLLOW-UP SKILLS\xe2\x80\x9d along with a "Genuine" Friendly Caring Disposition that comes thru over the phone\xe2\x80\xa6 but with a CLOSER\xe2\x80\x99S MENTALITY.  We are only considering individuals with \xe2\x80\x9cPRIOR PHONE EXPERIENCE\xe2\x80\x9d for this position\xe2\x80\xa6 If this is Not You Please Stop right here!!  However\xe2\x80\xa6. if this sounds like you and you think you got what it takes please forward your resume FIRST to the "Craigslist Link" above then call 708-731-0748 to set-up a possible face-to-face or phone interview.  "THIS IS NOT A REMOTE POSITION",7402783036,Remote role wanted (Chicago) I\'m looking a part time remote job. I currently have experience in sales customer service and Health administration. Legit roles only no ad posting or scams!,7406886670,Sales or Improve Customer Services for $6/hr (chicago) To enhance sales or improve customer service we offer telemarketing services appointment setting recruitment outbound inbound calls and lead generation. We are based in Canada and have been providing services to businesses in the United States and Canada since 2000. My team works hard 24/7 to guarantee that our clients meet their goals and we are known in the market for delivering the best at cheap pricing of $6US per hour.,7406316678,Remote Business Services We provide remote business services to clients across the country. We provide services such as: notary/loan signing accounting data entry database management customer service etc.  We currently work remotely for a real estate agent/investor doing data entry and bookkeeping. We also work for a property manager performing virtual assistant services. I use Appfolio MLS & Loopnet.  References can be provided upon request.  I recognize the value of fast responses communication and customer service. I\'m always available via phone text and email. I would love the opportunity to help you with any of your short or long term projects.  If you have any questions please feel free to ask.
7405175982,VALET PARKING ATTENDANT  $15 plus tips and bonus (EVANSTON / highland park) VALET PARKING  ATTENDANTS . NORTHSHORE AREA .    Compensation: $ 15 per hr Plus tips and bonus.  employment type: full-time.  Attendant Qualifications. Qualified candidates must be properly groomed and professional in appearance able to communicate clearly and effectively work outside and stand for prolonged periods of time follow and ensure the integrity of all processes and procedures and work a flexible schedule.  We require that valets be 21 or older have excellent customer service skills a valid driver\'s license (NO TVDL)  a clean driving record able to drive a manual transmission and the physical ability to run to and from parking locations. Personal transportation is a plus.  All candidates must be able to pass a drug test background check and to communicate clearly with your customers.  MUST BE FULLY VACCINATED .  REPLY WITH RESUME THANKS.    .PLEASE READ THE ENTIRE POST .  !SERIOUS APPLICANTS ONLY!,7402783036,Remote role wanted (Chicago) I\'m looking a part time remote job. I currently have experience in sales customer service and Health administration. Legit roles only no ad posting or scams!,7406886670,Sales or Improve Customer Services for $6/hr (chicago) To enhance sales or improve customer service we offer telemarketing services appointment setting recruitment outbound inbound calls and lead generation. We are based in Canada and have been providing services to businesses in the United States and Canada since 2000. My team works hard 24/7 to guarantee that our clients meet their goals and we are known in the market for delivering the best at cheap pricing of $6US per hour.,7406316678,Remote Business Services We provide remote business services to clients across the country. We provide services such as: notary/loan signing accounting data entry database management customer service etc.  We currently work remotely for a real estate agent/investor doing data entry and bookkeeping. We also work for a property manager performing virtual assistant services. I use Appfolio MLS & Loopnet.  References can be provided upon request.  I recognize the value of fast responses communication and customer service. I\'m always available via phone text and email. I would love the opportunity to help you with any of your short or long term projects.  If you have any questions please feel free to ask.
7406024714,$400/DAY Class A LOCAL/REGIONAL CDL Driver (Lemont IL) Family owned small trucking company need to extend the family with you . We take care of Family! The owner of the company is a truck driver since 2007 and understand what the job means and he can relate.  Job description: Work on 53 Ft Dry Vans Pick up and deliveries in in the area and the neighboring states 500 miles radius from Lemont IL Most often less then 150 miles radius from Lemont IL Taking truck or trailer for maintenance when necessary Picking up and dropping off trailers empty or loaded Picking up and dropping off at BNSF Rail. No chassis . These are regular Dry Vans Live loads and unloads Most loads are no touch Some days start at 5 Am some at 9 some at 10.  Occasional late delivery will be required/ once a month or so Home most nights and most weekends Holidays by request or if no work available. Rail experience is a plus Pet friendly  PAY $$$$  NO ESCROW $400/worked day with Weekends optional . We have plenty of work $200/day guaranteed Monday to Friday if not dispatched extremely rare. It happens only if the truck is in the shop Can make $2800+/week with extra weekend days Can make over $1100/ month Can make over $130000/ year 5 days vacation pay after 180 days Safety bonus and performance bonus available Most days are 10 working hours sometimes 12 sometimes less. Paid orientation (only need 1 day) We pay weekly via Direct Deposit or Zele and other quick pay forms  Drug test screening mandatory for hire and random test during the employment!!!!! We require minimum 3 years of Commercial driving experience  We require good driving skills Good driving record and clean drug test are required! We do random drug test that need to be Negative                     Newer and in great shape automatic PETERBILT          Contractors 1099   Serious inquiries only!,7403897198,CDL Driver (Palatine) Class A Driver 70CPM OTR DrivingDryvan Only! Available to start Asap!,7389861028,Drivers needed CDL A (Local) (north Lake) *26"Dry van  requires class b License * And Semi work requires CDL A *local *home daily *no weekends *paid weekly * (5 days) *2 yrs Experience * good driving record,7402376621,Carpenter/ Laborer// Handyman available (Chicago) Carpenter//Laborer/ Handyman available
7406955464,WIDER GROUP- TEAMS FEDEX DEDICATED HIRING AREA: 80 Mile Radius of Bridgeview IL\xc2\xa0\xc2\xa0Double TEAM the freight and don\xe2\x80\x99t be late! Wider Group is looking for TEAMs to pull DEDICATED FedEx accounts!\xc2\xa0We will also match you with a driver if you want to create a team!\xc2\xa0What\xe2\x80\x99s awesome about this job?\xc2\xa0$4200 Per week- SALARIED PAY\xc2\xa02 days at home per week\xc2\xa0$1000 sign on bonus\xc2\xa0per Driver!\xc2\xa0Late Model trucks\xc2\xa0Don\xe2\x80\x99t let this be a \xe2\x80\x9cI wish I had!\xe2\x80\x9d Make Wider Group your \xe2\x80\x9cI am glad I did!\xe2\x80\x9dAPPLY HERE TODAY \xc2\xa0https://intelliapp.driverapponline.com/c/widergroup?R=Fusioncast,7402376621,Carpenter/ Laborer// Handyman available (Chicago) Carpenter//Laborer/ Handyman available,7399373247,Weekend driver (Northwest Indiana) Looking for a side gig - hotshot driver  I do not have my own truck  Weekends only,7400075704,Driver Job Wanted (Chicago) CDL-Class-B Looking for Small Truck Delivery work Prefer Days Thanks Jeff  show contact info
7404471831,$1800 A WEEK GUARANTEED CDL A Driver (CHANNAHON) LIMITED TIME OFFER ! EXPIRES SOON  DRY VAN NO TOUCH FREIGHT  Some locations drop&hook    !!! $1800 a week Guaranteed !!! We run Midwest -East -South East :)  2 weeks on the road required. 1099 option  INTERESTED ? TEXT 708-866-5964,7402376621,Carpenter/ Laborer// Handyman available (Chicago) Carpenter//Laborer/ Handyman available,7405526016,Having trouble with your online math class?*** *** I help clients with their online math classes. No class is too difficult and no deadline is too soon.  Call me at (424) - 4 0  2 - 1 3 8  9,7403897198,CDL Driver (Palatine) Class A Driver 70CPM OTR DrivingDryvan Only! Available to start Asap!
7405084958,Quality Technician (East Dundee) Made To Measure The leader in Metrology. Join our quality dynamic team and be exposed to every corner of manufacturing. Our laboratory is an open flexible environment. We offer the best training there is in the metrology world. www.madetomeasurecmm.com  Job Summary  At M2M the Quality Technician is responsible for measuring parts using hand tools load and unload parts in Coordinate Measuring Machines and Vision Measuring Machines. Interprets drawings per applicable ASME ISO or Customer \xe2\x80\x98s standards. High accuracy and attention to detail.  This position works under moderate to high level of supervision and seeks direction/guidance on difficult problems.  This is a full-time will-train position. Limited travel may be required.  Primary Duties and Responsibilities\xc2\xb7 Completing dimensional inspection projects per drawings work instructions and M2M standard.\xc2\xb7 Ballooning drawings and setting-up Inspection Reports per M2M standard.\xc2\xb7 Running programs on CMM\xe2\x80\x99s and VMM\xe2\x80\x99s.\xc2\xb7 Competently interpreting drawings specifications per applicable standards (GD&T \xe2\x80\x93 ASME and ISO).\xc2\xb7   Education/Experience Requirements  Experience in quality control dimensional inspection.  Knowledge and experience with the use of Microsoft Excel required. Coordinate metrology experience and working knowledge of CMM software: ANY cmm software knowledge is a plus.  Relationships/Contacts Daily contact with Director of Metrology & Quality Manager.\xc2\xb7 Reports to Level 2 & 3 Metrologist.  Job Type: Full-time  Salary: $18.00 to $22.00 /hour  Qualification Questions  You have requested that Indeed ask candidates the following questions:,7396174532,quality tech control (west burbs) Manufacturing with metal and plastics. CMM GD&T.,7388769147,welder fabrication  railings and structure Hi I welder I have 20 years experienced welding fabrication railings and structural and moor looking for full-time and part-time job
