,category,text,postid,pred_category,pred_category_text
2,0,"quality tech control (west burbs) Manufacturing with metal and plastics. CMM, GD&T.",7396174532,4,manufacturing
3,0,Driver Job Wanted (Chicago) CDL-Class-B Looking for Small Truck Delivery work Prefer Days Thanks Jeff  show contact info,7400075704,3,transportation
17,0,"Retired CPA and CFO of Subsidiary of Morton Salt (Frankfort,  IL) Retired CPA and CFO of Subsidiary of Morton Salt (Frankfort IL) available evenings available mornings available overnight available weekends education completed: masters license info: Licensed in Illinois and Colorado Seeking part time work as Consultant, setup Accounting Systems, Computer Systems, Monthly Closes, Financial Statements, Taxes, Audits. If you need help send me you phone number and get back to you within 24 hours",7398939167,3,transportation
24,0,Warehouse employee (Chicago) Bilingual English and Spanish speaking male looking for full-time employment in the city of Chicago near public transportation.,7395222352,1,general labor
28,0,I\xe2\x80\x99m looking for a work from home sales job or sales opportunity I\'m looking for a job or opportunity where I can be my own boss and work independently and or telecommute. I have strong work ethic and want to make some good money. I\'m driven to being very successful.  Please reply if you need a motivated dedicated associate for your company or team,7400800753,5,food/beverage/hospitality
55,0,"Looking for any odd jobs you need help with (Fox lake) Looking for any odd jobs to help for the holidays coming up., Everything is negotiable.  Affordable quality honest help. Anything from yard work, carpentry, cleanup, windows, gutters or any other job you can\'t do or just don\'t want to do. Will meet or beat most prices. Text today, Mike  show contact info . Try me",7404671836,6,skilled trades/artisan
79,0,Painting maintenance (Chicago) We do everything painting remodeling drywall installation patching sanding complete small to medium repairs remodeling and home improvement projects contact into self  independent contractor and cleaning service                                                            Plumbing.                                                                            Painting .                                                                             Trash removal .                                                                  Drywall hand power tools.  show contact info,7402664702,6,skilled trades/artisan
128,0,looking for weekend jobs. moring only (Addison) Looking for a weekend job. Saturday and Sunday morning only.,7399245318,5,food/beverage/hospitality
131,0,Union laborer -demolition (Cicero) Hello I\xe2\x80\x99m a  apprentice union laborer laid off looking for a new company to work for.,7406978122,1,general labor
147,0,"Labor/ helper any type (Any neighborhood..) am looking for cash paying job . One day. One week. A couple hours available to what suits you. Physically fit male had work in many types of work like on cars . Construction,  manufacturing,assembly, shipping,electrician, painter, speak , read spanish,office work ,cleaning sanitary. Am looking for work .looking forward to working with you",7395132374,1,general labor
149,0,Painting Maintenance snow removal (Chicago) We do everything painting remodeling drywall installation patching sanding complete small to medium repairs remodeling and home improvement projects contact into self  independent contractor and cleaning service                                                            Plumbing.                                                                            Painting .                                                                             Trash removal .                                                                  Drywall hand power tools.  show contact info  snow removal,7402878825,6,skilled trades/artisan
159,0,"General labor work (Chicago) My name is Mike I am looking for job as a Laborer I have experience in moving, landscaping, demolition, and just general labor work. I am a hard worker have my own transportation.",7384781945,1,general labor
160,0,"100% Pure Bred Himalayan Cat Model (Chicago) Sasha is a 9 month old pure bred Himalayan cat looking for modeling work and affiliate marketing opportunities . We can travel with her and she is very friendly. Open to commercials , photography work, product marketing etc . Please contact for more information.",7397111957,5,food/beverage/hospitality
172,0,"Caregiver Available/ Dementia/ Alzheimer's (Chicago) Experienced Female Caregiver available to come & go. It\'s not easy finding good reliable caring people to help look after you or your loved ones. Services offered include but not limited: Meal prepping/feeding assist. Light housekeeping, laundry, dishes, bedding. Excerise routine/ medically approve medication distribution. Doctor visits/follow ups. Hygiene routine/bathing etc. Shopping. Record/ daily ledger keeping of activities. Alzheimer\'s & Dementia can be hard for the person but very stressful for the loved ones as well.  I\'m available 5-6 days per week and can offer a safe, compassionate way of life and give everyone a little better peace of mind. Excellent references, background check, CPR certified. Availability depends on Location & Compensation: Please feel free to contact me with any questions. \xf0\x9f\xa4\x97",7405772666,9,healthcare
173,0,"Your online math class done for you by a professional### *** Do you find math difficult? Do you have to get through an online math course, but have no idea how to do it on your own? Don\'t stress out - let me do it for you! I am working on my Master\'s Degree in mathematics and I can tackle any math assignment, from algebra to calculus. I also offer assistance for statistics and economics courses.  So call me at (424) - 4 0  2-1 3 8  9  if interested.",7405026796,3,transportation
188,0,"Labor Work Wanted (Chicago) My name is Jamie I am looking for labor work I have experience in Demolition, moving, construction laborer, and landscaping looking for same day pay gigs. I have my own vehicle and my own tools",7390874448,1,general labor
194,0,"Seeking cash job/Trabajo en efectivo (Chicago) Looking for cash paying job. I have worked as a hostess 2 years,coat check for 3 years. I have 3 year cook experience as well. I am bilingual,Spanish is my second language. I can read,write and speak it fluently. I\'m looking to start part time,3-4 days a week,preferably day shifts. I work weekends only as of now.Please no creeps. I am following covid rules and wearing a mask and would like those around me to do as well. Thank you for your time and god bless",7400652495,5,food/beverage/hospitality
198,0,"CLEANING SERVICE (CHICAGO AND SUBURBS) 25 years of experience, reference upon request. I had been cleaning houses and offices for a very long time. I\'m very Trustworthy and reliable. I love what I do which means I know how get even the most stubborn dirt out of your place !  Thank you so much for giving me an opportunity to clean your home or office or your place of business.   Please call  show contact info",7401181914,1,general labor
